# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 0
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           10.0                            5.0                            0.0                            0.0                            0.0                            0.0                            0.0                            0.0
   2              10.13333333333332              4.999999999999993                            0.0                            0.0        -1.5036825118386332e-08        -2.5846436102483494e-10                            0.0                            0.0
   3              10.40000000000002              5.000000000000009                            0.0                            0.0          -4.51114807731301e-08         -0.0005171354268300732                            0.0                            0.0
   4             10.799999999999985              4.999999999999994                            0.0                            0.0          -4.10165063868817e-06         -0.0028442421337171453                            0.0                            0.0
   5             11.333333333333343              5.000000000000003                            0.0                            0.0        -3.3578920538346324e-05          -0.009049796751146921                            0.0                            0.0
   6             11.999999999999996              5.000000000000001                            0.0                            0.0        -0.00015065158758531538            -0.0219775160709883                            0.0                            0.0
   7             12.666666666666675              5.000000000000001                            0.0                            0.0         -0.0003880573349785976           -0.04007523356424869                            0.0                            0.0
   8             13.333333333333329                            5.0                            0.0                            0.0         -0.0007858959228332907           -0.06334186027200506                            0.0                            0.0
   9             14.000000000000007              5.000000000000002                            0.0                            0.0          -0.001384257457839766           -0.09177599621653787                            0.0                            0.0
  10             14.666666666666666              4.999999999999997                            0.0                            0.0          -0.002223219981017266           -0.12537593048558282                            0.0                            0.0
  11             15.333333333333336              5.000000000000005                            0.0                            0.0         -0.0033428470561585044            -0.1641396413352787                            0.0                            0.0
  12             16.000000000000004             4.9999999999999964                            0.0                            0.0         -0.0047831853591890905           -0.20806479631180963                            0.0                            0.0
  13             16.666666666666664              5.000000000000005                            0.0                            0.0          -0.006584262268475527           -0.25714875239175505                            0.0                            0.0
  14             17.199999999999996             4.9999999999999964                            0.0                            0.0          -0.008345719218809222            -0.3005405953912579                            0.0                            0.0
  15             17.599999999999994              5.000000000000002                            0.0                            0.0           -0.00986513855853488           -0.33540314044203967                            0.0                            0.0
  16             17.866666666666667              5.000000000000002                            0.0                            0.0          -0.010971557291281187           -0.35967487744930615                            0.0                            0.0
  17                           18.0                            5.0                            0.0                            0.0           -0.01154880046051332           -0.37206819388605616                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_b.CurveGeometry3D
# solution step :: 0
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           18.0                            5.0                            0.0                            0.0           -0.01154880046051332           -0.37206819388605616                            0.0                            0.0
   2              18.11666666666666              4.999999999999995                            0.0                            0.0          -0.012053888235705301            -0.3829123457907233                            0.0                            0.0
   3             18.350000000000016              5.000000000000007                            0.0                            0.0           -0.01310086554679657            -0.4049948667476402                            0.0                            0.0
   4              18.69999999999999             4.9999999999999964                            0.0                            0.0          -0.014784412502354627            -0.4393010498377299                            0.0                            0.0
   5              19.16666666666667                            5.0                            0.0                            0.0          -0.017266003190343326            -0.4874063951262695                            0.0                            0.0
   6                          19.75             5.0000000000000036                            0.0                            0.0           -0.02078949097736782            -0.5514749196173803                            0.0                            0.0
   7             20.333333333333336             4.9999999999999964                            0.0                            0.0          -0.024761189177397114            -0.6194773354463221                            0.0                            0.0
   8             20.916666666666657              5.000000000000002                            0.0                            0.0          -0.029207788128019274            -0.6914105098419174                            0.0                            0.0
   9             21.500000000000007              5.000000000000002                            0.0                            0.0           -0.03415595628883139            -0.7672711289487246                            0.0                            0.0
  10             22.083333333333336              4.999999999999997                            0.0                            0.0           -0.03963233901288632            -0.8470556979797035                            0.0                            0.0
  11             22.666666666666664              5.000000000000005                            0.0                            0.0           -0.04566355731916616             -0.930760541377218                            0.0                            0.0
  12             23.250000000000007              4.999999999999997                            0.0                            0.0           -0.05227620666618904            -1.0183818029823781                            0.0                            0.0
  13              23.83333333333333              5.000000000000003                            0.0                            0.0           -0.05949685572681318             -1.109915446212641                            0.0                            0.0
  14             24.300000000000008                            5.0                            0.0                            0.0           -0.06578100727674752            -1.1862688926408085                            0.0                            0.0
  15             24.649999999999977              4.999999999999998                            0.0                            0.0           -0.07079159425264336            -1.2452906730355235                            0.0                            0.0
  16             24.883333333333344              5.000000000000002                            0.0                            0.0           -0.07426772672839377              -1.28541866999303                            0.0                            0.0
  17                           25.0                            5.0                            0.0                            0.0           -0.07604016934155666            -1.3056776265367067                            0.0                            0.0
# Kratos Output Displacements 
#
# curve_a.CurveGeometry3D
# solution step :: 1
# Id                        Init x:                        Init y:                        Init z:                Init rotartion:                         Disp x                         Disp y                         Disp z                  Disp rotation
#***********************************************************************************************************************************************************************************************************************************************************#
   1                           10.0                            5.0                            0.0                            0.0                            0.0                            0.0                            0.0                            0.0
   2              10.13333333333332              4.999999999999993                            0.0                            0.0         -6.014739462045782e-08         -5.169278338712502e-10                            0.0                            0.0
   3              10.40000000000002              5.000000000000009                            0.0                            0.0         -1.804461984278305e-07         -0.0010342712036353063                            0.0                            0.0
   4             10.799999999999985              4.999999999999994                            0.0                            0.0         -1.640661938751009e-05          -0.005688486192824804                            0.0                            0.0
   5             11.333333333333343              5.000000000000003                            0.0                            0.0        -0.00013431581877121346          -0.018099226217362485                            0.0                            0.0
   6             11.999999999999996              5.000000000000001                            0.0                            0.0         -0.0006025779982525847           -0.04395078419435894                            0.0                            0.0
   7             12.666666666666675              5.000000000000001                            0.0                            0.0         -0.0015520571398965899           -0.08013425313906897                            0.0                            0.0
   8             13.333333333333329                            5.0                            0.0                            0.0          -0.003142978705845678           -0.12664092437917596                            0.0                            0.0
   9             14.000000000000007              5.000000000000002                            0.0                            0.0          -0.005535413775264786           -0.18345960464358857                            0.0                            0.0
