[0.6943184420297369, 4.999999999999999, 0.0][9.999999999999998, -7.355227538141662e-16, 0.0][7.355227538141663e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.3000947820757185, 5.0, 0.0][10.0, -6.661338147750939e-16, 0.0][6.661338147750939e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.699905217924281, 5.0, 0.0][10.0, 6.661338147750939e-16, 0.0][-6.661338147750939e-17, 1.0, 0.0][0.0, -0.0, 1.0]
[9.305681557970264, 5.0, 0.0][10.000000000000004, 1.3322676295501878e-15, 0.0][-1.3322676295501873e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[10.694318442029738, 4.999999999999999, 0.0][10.000000000000007, 2.456368441983159e-15, 0.0][-2.4563684419831573e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[13.300094782075721, 5.000000000000002, 0.0][10.000000000000004, 2.4424906541753444e-15, 0.0][-2.4424906541753436e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[16.699905217924286, 5.000000000000002, 0.0][10.0, 0.0, 0.0][-0.0, 1.0, 0.0][0.0, -0.0, 1.0]
[19.305681557970264, 5.0, 0.0][9.999999999999993, -5.329070518200751e-15, 0.0][5.329070518200755e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[20.694318442029733, 4.999999999999999, 0.0][10.0, -7.355227538141662e-16, 0.0][7.355227538141662e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[23.30009478207572, 5.0, 0.0][10.0, -6.661338147750939e-16, 0.0][6.661338147750939e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[26.69990521792428, 5.0, 0.0][10.0, 6.661338147750939e-16, 0.0][-6.661338147750939e-17, 1.0, 0.0][0.0, -0.0, 1.0]
[29.305681557970264, 5.0, 0.0][10.000000000000002, 1.3322676295501878e-15, 0.0][-1.3322676295501876e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[30.69431844202974, 4.999999999999999, 0.0][10.000000000000012, 2.456368441983159e-15, 0.0][-2.456368441983156e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[33.300094782075725, 5.000000000000002, 0.0][10.000000000000009, 2.4424906541753444e-15, 0.0][-2.442490654175342e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[36.69990521792429, 5.000000000000002, 0.0][10.0, 0.0, 0.0][-0.0, 1.0, 0.0][0.0, -0.0, 1.0]
[39.30568155797027, 5.0, 0.0][9.999999999999972, -5.329070518200751e-15, 0.0][5.329070518200767e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[40.694318442029726, 4.999999999999999, 0.0][9.999999999999995, -7.355227538141662e-16, 0.0][7.355227538141666e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[43.300094782075725, 5.0, 0.0][10.00000000000001, -6.661338147750939e-16, 0.0][6.661338147750932e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[46.69990521792428, 5.0, 0.0][10.00000000000001, 6.661338147750939e-16, 0.0][-6.661338147750932e-17, 1.0, 0.0][0.0, -0.0, 1.0]
[49.30568155797026, 5.0, 0.0][9.999999999999993, 1.3322676295501878e-15, 0.0][-1.3322676295501888e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[50.69431844202974, 4.999999999999999, 0.0][9.999999999999991, 2.456368441983159e-15, 0.0][-2.456368441983161e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[53.30009478207572, 5.000000000000002, 0.0][9.999999999999986, 2.4424906541753444e-15, 0.0][-2.442490654175348e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[56.69990521792428, 5.000000000000002, 0.0][10.000000000000014, 0.0, 0.0][-0.0, 1.0, 0.0][0.0, -0.0, 1.0]
[59.30568155797027, 5.0, 0.0][10.000000000000028, -5.329070518200751e-15, 0.0][5.329070518200736e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
