[2.013506097159369, 2.0, 0.0][0.4000000000000022, 1.2021130630357943e-15, 0.0][-3.005282657589469e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[2.067758122706748, 2.0000000000000004, 0.0][0.40000000000000224, 4.535759788593108e-16, 0.0][-1.1339399471482706e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[2.15227616278336, 1.9999999999999998, 0.0][0.4000000000000019, -1.8431436932253575e-16, 0.0][4.607859233063372e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[2.24772383721664, 2.0000000000000004, 0.0][0.40000000000000047, -5.30825383648903e-16, 0.0][1.3270634591222558e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[2.332241877293253, 1.9999999999999998, 0.0][0.3999999999999997, -3.3306690738754696e-16, 0.0][8.326672684688681e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[2.386493902840631, 1.9999999999999996, 0.0][0.4, -1.3877787807814457e-16, 0.0][3.469446951953614e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[2.4135060971593707, 2.0, 0.0][0.39999999999999986, -2.735011417866808e-16, 0.0][6.837528544667023e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[2.4677581227067473, 1.9999999999999996, 0.0][0.3999999999999999, 1.0293144375034258e-16, 0.0][-2.573286093758565e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[2.552276162783361, 1.9999999999999996, 0.0][0.39999999999999997, -1.979753166958531e-16, 0.0][4.949382917396328e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[2.6477238372166396, 2.0, 0.0][0.3999999999999999, 6.071532165918825e-17, 0.0][-1.5178830414797065e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[2.732241877293254, 2.0000000000000004, 0.0][0.40000000000000024, 9.020562075079397e-17, 0.0][-2.2551405187698477e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[2.7864939028406313, 1.9999999999999998, 0.0][0.3999999999999999, 1.6653345369377348e-16, 0.0][-4.163336342344338e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[2.81350609715937, 2.0, 0.0][0.4000000000000002, 1.9834369661856993e-16, 0.0][-4.958592415464246e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[2.867758122706748, 2.0000000000000004, 0.0][0.40000000000000047, 4.360254561922017e-16, 0.0][-1.090063640480503e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[2.9522761627833614, 2.0000000000000004, 0.0][0.4000000000000002, 3.5800355735471356e-16, 0.0][-8.950088933867835e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[3.0477238372166404, 2.0, 0.0][0.4000000000000006, 5.100087019371813e-16, 0.0][-1.2750217548429514e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[3.1322418772932545, 2.0, 0.0][0.40000000000000036, -2.220446049250313e-16, 0.0][5.551115123125778e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.186493902840631, 2.0, 0.0][0.4000000000000001, -2.498001805406602e-16, 0.0][6.245004513516505e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.2135060971593696, 1.9999999999999998, 0.0][0.4000000000000005, -3.1513442580078537e-16, 0.0][7.878360645019624e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.267758122706748, 2.0000000000000004, 0.0][0.4000000000000002, -3.9662825974950966e-16, 0.0][9.915706493737738e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.3522761627833617, 2.0, 0.0][0.39999999999999997, -8.628080888639644e-16, 0.0][2.157020222159911e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.4477238372166403, 1.9999999999999998, 0.0][0.4000000000000003, -5.967448757360216e-16, 0.0][1.491862189340053e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.532241877293254, 1.9999999999999998, 0.0][0.3999999999999998, -5.48172618408671e-16, 0.0][1.3704315460216782e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.586493902840631, 1.9999999999999996, 0.0][0.3999999999999997, -3.469446951953614e-16, 0.0][8.673617379884042e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.6135060971593704, 1.9999999999999993, 0.0][0.3999999999999994, -3.984012055872313e-16, 0.0][9.960030139680797e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.667758122706748, 1.9999999999999993, 0.0][0.39999999999999963, -1.4685518426316158e-16, 0.0][3.671379606579043e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[3.752276162783361, 1.9999999999999996, 0.0][0.3999999999999995, 8.001412032943023e-17, 0.0][-2.0003530082357581e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[3.8477238372166402, 1.9999999999999998, 0.0][0.4000000000000002, 7.28583859910259e-16, 0.0][-1.8214596497756467e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[3.9322418772932535, 2.0, 0.0][0.4000000000000003, 5.48172618408671e-16, 0.0][-1.3704315460216766e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[3.9864939028406305, 1.9999999999999993, 0.0][0.4000000000000006, 5.134781488891349e-16, 0.0][-1.2836953722228355e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[4.01350609715937, 1.9999999999999996, 0.0][0.40000000000000074, 4.342659967071871e-16, 0.0][-1.0856649917679657e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[4.067758122706748, 2.0, 0.0][0.4000000000000013, 6.857714266242376e-16, 0.0][-1.7144285665605885e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[4.1522761627833615, 2.0, 0.0][0.4000000000000011, 1.8995222061946038e-16, 0.0][-4.748805515486497e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[4.2477238372166415, 2.0, 0.0][0.40000000000000197, 1.6653345369377348e-16, 0.0][-4.163336342344317e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[4.332241877293256, 2.0, 0.0][0.40000000000000124, -3.469446951953614e-17, 0.0][8.673617379884008e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.386493902840632, 1.9999999999999998, 0.0][0.4000000000000017, -2.0816681711721685e-16, 0.0][5.2041704279304e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.413506097159371, 1.9999999999999998, 0.0][0.4000000000000011, -2.8737890312471566e-16, 0.0][7.184472578117872e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.46775812270675, 2.0, 0.0][0.40000000000000135, -3.1338863795693506e-16, 0.0][7.83471594892335e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.552276162783364, 2.0, 0.0][0.4000000000000003, -9.191866018332107e-16, 0.0][2.297966504583025e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.647723837216643, 2.0, 0.0][0.40000000000000085, -6.036837696399289e-16, 0.0][1.509209424099819e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.732241877293256, 1.9999999999999996, 0.0][0.3999999999999997, -1.0061396160665481e-15, 0.0][2.5153490401663723e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.786493902840633, 1.9999999999999993, 0.0][0.39999999999999986, -8.187894806610529e-16, 0.0][2.046973701652633e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.8135060971593715, 1.9999999999999991, 0.0][0.4000000000000001, -1.120046171593583e-15, 0.0][2.8001154289839573e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.86775812270675, 1.9999999999999991, 0.0][0.3999999999999999, -7.574778478069977e-16, 0.0][1.8936946195174946e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[4.952276162783364, 1.9999999999999991, 0.0][0.39999999999999936, -1.0302089042957263e-15, 0.0][2.57552226073932e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[5.047723837216642, 1.999999999999999, 0.0][0.40000000000000036, -2.706168622523819e-16, 0.0][6.765421556309542e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[5.132241877293256, 1.999999999999999, 0.0][0.3999999999999997, -2.2898349882893854e-16, 0.0][5.724587470723468e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[5.186493902840633, 1.9999999999999984, 0.0][0.3999999999999999, -4.163336342344337e-17, 0.0][1.0408340855860845e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[5.213506097159372, 1.9999999999999984, 0.0][0.39999999999999963, -9.82318667309593e-18, 0.0][2.4557966682739847e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[5.26775812270675, 1.999999999999999, 0.0][0.3999999999999999, 2.416957693013311e-16, 0.0][-6.042394232533278e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[5.352276162783362, 1.9999999999999984, 0.0][0.3999999999999995, 1.7433970933566911e-16, 0.0][-4.3584927333917332e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[5.447723837216641, 1.999999999999999, 0.0][0.3999999999999995, 7.927686285214008e-16, 0.0][-1.9819215713035045e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[5.532241877293256, 1.9999999999999993, 0.0][0.3999999999999989, 4.163336342344337e-16, 0.0][-1.040834085586087e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[5.586493902840632, 1.999999999999999, 0.0][0.39999999999999875, 5.967448757360216e-16, 0.0][-1.4918621893400588e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[5.613506097159371, 1.999999999999999, 0.0][0.3999999999999987, 2.8161035729100766e-16, 0.0][-7.040258932275214e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[5.667758122706749, 1.9999999999999993, 0.0][0.3999999999999988, 3.8047364737947564e-16, 0.0][-9.511841184486919e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[5.752276162783361, 1.999999999999999, 0.0][0.39999999999999863, 7.806255641895632e-18, 0.0][-1.9515639104739148e-17, 1.0, 0.0][0.0, -0.0, 1.0]
[5.84772383721664, 1.9999999999999993, 0.0][0.3999999999999995, 1.2663481374630692e-16, 0.0][-3.165870343657677e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[5.932241877293254, 1.9999999999999993, 0.0][0.39999999999999974, -3.608224830031759e-16, 0.0][9.020562075079403e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[5.986493902840631, 1.9999999999999991, 0.0][0.40000000000000024, -1.8041124150158794e-16, 0.0][4.510281037539695e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.01350609715937, 1.999999999999999, 0.0][0.4000000000000007, -3.8452353689342507e-16, 0.0][9.61308842233561e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.067758122706749, 1.9999999999999993, 0.0][0.40000000000000124, -3.967366799667582e-16, 0.0][9.918416999168924e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.1522761627833615, 1.999999999999999, 0.0][0.4000000000000002, -7.706509042026966e-16, 0.0][1.9266272605067406e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.247723837216641, 1.999999999999999, 0.0][0.40000000000000085, -4.354155924701786e-16, 0.0][1.088538981175444e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.332241877293256, 1.9999999999999991, 0.0][0.39999999999999986, -4.996003610813204e-16, 0.0][1.2490009027033015e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.386493902840631, 1.9999999999999987, 0.0][0.399999999999999, -4.579669976578771e-16, 0.0][1.1449174941446954e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.41350609715937, 1.9999999999999984, 0.0][0.3999999999999992, -4.400345425408951e-16, 0.0][1.1000863563522399e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.4677581227067495, 1.999999999999999, 0.0][0.39999999999999825, -2.5786393419852116e-16, 0.0][6.446598354963058e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.552276162783362, 1.9999999999999984, 0.0][0.39999999999999686, -4.907099032669393e-16, 0.0][1.226774758167358e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.647723837216639, 1.9999999999999982, 0.0][0.3999999999999981, -3.0878077872387166e-16, 0.0][7.719519468096829e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.732241877293253, 1.9999999999999987, 0.0][0.39999999999999786, -6.661338147750939e-16, 0.0][1.6653345369377437e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.786493902840629, 1.9999999999999982, 0.0][0.39999999999999886, -5.828670879282072e-16, 0.0][1.4571677198205221e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.813506097159369, 1.999999999999998, 0.0][0.39999999999999886, -5.371791101351555e-16, 0.0][1.3429477753378925e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.867758122706747, 1.9999999999999982, 0.0][0.4000000000000001, -5.076912197934935e-16, 0.0][1.2692280494837336e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[6.95227616278336, 1.9999999999999978, 0.0][0.4000000000000013, -5.470884162361855e-16, 0.0][1.3677210405904593e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[7.04772383721664, 1.9999999999999978, 0.0][0.40000000000000374, 1.3010426069826053e-16, 0.0][-3.2526065174564827e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[7.1322418772932545, 1.9999999999999984, 0.0][0.4000000000000038, 2.0122792321330962e-16, 0.0][-5.030698080332693e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[7.186493902840632, 1.9999999999999978, 0.0][0.4000000000000044, 6.106226635438361e-16, 0.0][-1.5265566588595735e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.213506097159371, 1.9999999999999978, 0.0][0.40000000000000485, 6.424327873546243e-16, 0.0][-1.6060819683865413e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.2677581227067485, 1.9999999999999984, 0.0][0.40000000000000485, 8.800333508793279e-16, 0.0][-2.200083377198293e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.3522761627833635, 1.999999999999998, 0.0][0.4000000000000033, 1.0061396160665481e-15, 0.0][-2.5153490401663494e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.447723837216643, 1.9999999999999987, 0.0][0.4000000000000017, 1.231653667943533e-15, 0.0][-3.0791341698588196e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.5322418772932584, 1.9999999999999993, 0.0][0.3999999999999989, 9.575673587391975e-16, 0.0][-2.3939183968480005e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.586493902840634, 1.999999999999999, 0.0][0.3999999999999981, 7.771561172376096e-16, 0.0][-1.9428902930940334e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.613506097159372, 1.999999999999999, 0.0][0.3999999999999967, 6.840662169525167e-16, 0.0][-1.710165542381306e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[7.667758122706751, 1.9999999999999993, 0.0][0.3999999999999962, 3.249760486753739e-16, 0.0][-8.124401216884424e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[7.752276162783363, 1.9999999999999991, 0.0][0.39999999999999525, -3.2504381131115423e-16, 0.0][8.126095282778952e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[7.84772383721664, 1.9999999999999991, 0.0][0.3999999999999972, -3.139849491518021e-16, 0.0][7.849623728795107e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[7.932241877293254, 1.9999999999999991, 0.0][0.3999999999999987, -6.869504964868156e-16, 0.0][1.7173762412170447e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[7.986493902840632, 1.9999999999999987, 0.0][0.40000000000000163, -8.326672684688674e-16, 0.0][2.08166817117216e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.01350609715937, 1.9999999999999984, 0.0][0.40000000000000246, -1.0229016569388819e-15, 0.0][2.557254142347189e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.06775812270675, 1.999999999999999, 0.0][0.4000000000000044, -7.852334234226266e-16, 0.0][1.9630835585565448e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.152276162783362, 1.9999999999999984, 0.0][0.4000000000000057, -8.797216427547383e-16, 0.0][2.1993041068868146e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.247723837216643, 1.9999999999999984, 0.0][0.4000000000000071, -4.2327252813834093e-16, 0.0][1.0581813203458334e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.332241877293258, 1.9999999999999987, 0.0][0.4000000000000049, -2.2898349882893854e-16, 0.0][5.724587470723393e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.386493902840638, 1.999999999999998, 0.0][0.4000000000000045, -4.163336342344337e-17, 0.0][1.0408340855860725e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[8.413506097159377, 1.9999999999999984, 0.0][0.40000000000000285, 4.0773783800657866e-18, 0.0][-1.0193445950164394e-17, 1.0, 0.0][0.0, -0.0, 1.0]
[8.467758122706753, 1.9999999999999984, 0.0][0.4000000000000002, 1.6130217821153092e-16, 0.0][-4.032554455288271e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[8.552276162783366, 1.999999999999998, 0.0][0.39999999999999725, 3.963843142607004e-16, 0.0][-9.90960785651758e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[8.647723837216645, 1.9999999999999984, 0.0][0.39999999999999547, 7.927686285214008e-16, 0.0][-1.9819215713035246e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[8.732241877293257, 1.9999999999999987, 0.0][0.39999999999999425, 8.604228440844963e-16, 0.0][-2.1510571102112716e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[8.786493902840634, 1.999999999999999, 0.0][0.39999999999999397, 8.465450562766819e-16, 0.0][-2.1163626406917366e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[8.813506097159374, 1.9999999999999991, 0.0][0.3999999999999935, 5.175555405040905e-16, 0.0][-1.2938888512602471e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[8.86775812270675, 1.9999999999999991, 0.0][0.39999999999999364, 5.221382137418629e-16, 0.0][-1.3053455343546779e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[8.952276162783361, 1.999999999999999, 0.0][0.399999999999995, 4.521123059264553e-16, 0.0][-1.1302807648161524e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[9.047723837216642, 1.9999999999999991, 0.0][0.3999999999999983, 5.741934705483231e-16, 0.0][-1.435483676370814e-15, 1.0, 0.0][0.0, -0.0, 1.0]
[9.132241877293252, 1.9999999999999991, 0.0][0.4000000000000019, 3.122502256758253e-16, 0.0][-7.806255641895594e-16, 1.0, 0.0][0.0, -0.0, 1.0]
[9.186493902840631, 1.9999999999999993, 0.0][0.4000000000000027, -2.7755575615628914e-17, 0.0][6.938893903907182e-17, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.213506097159373, 1.9999999999999991, 0.0][0.400000000000002, -2.318450937621188e-16, 0.0][5.79612734405294e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.26775812270675, 1.9999999999999993, 0.0][0.4000000000000028, -4.2161911982530054e-16, 0.0][1.054047799563244e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.352276162783363, 1.9999999999999987, 0.0][0.4000000000000039, -4.375839968151496e-16, 0.0][1.0939599920378633e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.44772383721664, 1.999999999999999, 0.0][0.40000000000000435, -1.0234868508263162e-16, 0.0][2.558717127065763e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.532241877293256, 1.999999999999999, 0.0][0.4000000000000021, -2.7755575615628914e-16, 0.0][6.938893903907192e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.586493902840635, 1.9999999999999991, 0.0][0.3999999999999997, -9.71445146547012e-17, 0.0][2.428612866367532e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.613506097159375, 1.999999999999999, 0.0][0.39999999999999997, -3.151117279647769e-16, 0.0][7.877793199119424e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.66775812270675, 1.9999999999999987, 0.0][0.3999999999999967, -4.493069328051491e-16, 0.0][1.123267332012882e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.752276162783362, 1.9999999999999987, 0.0][0.3999999999999945, -3.8055496254241206e-16, 0.0][9.513874063560432e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.847723837216641, 1.9999999999999984, 0.0][0.3999999999999961, -2.0296264668928643e-16, 0.0][5.07406616723221e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.932241877293253, 1.9999999999999987, 0.0][0.399999999999997, -3.5388358909926865e-16, 0.0][8.847089727481782e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
[9.98649390284063, 1.9999999999999987, 0.0][0.39999999999999747, -4.718447854656915e-16, 0.0][1.1796119636642363e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.01350609715937, 1.9999999999999984, 0.0][0.39999999999999636, -6.759342109679528e-16, 0.0][1.6898355274198974e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.067758122706747, 1.9999999999999984, 0.0][0.39999999999999747, -8.656405670395828e-16, 0.0][2.164101417598971e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.152276162783359, 1.999999999999998, 0.0][0.39999999999999986, -8.801553236237325e-16, 0.0][2.200388309059332e-15, 1.0, 0.0][-0.0, 0.0, 1.0]
[10.247723837216638, 1.999999999999998, 0.0][0.40000000000000124, -3.139849491518021e-16, 0.0][7.849623728795027e-16, 1.0, 0.0][-0.0, 0.0, 1.0]
